##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
진원조닭한마리본점|||254554|서울 종로구 종로 252-11|서울특별시 종로구 종로5가 265-6|고기/구이류|진원조닭한마리본점|식신
이몸이만든빵|||842098|서울 마포구 월드컵로1길 14|서울특별시 마포구 합정동 472|카페/디저트|이몸이만든빵|식신
안주마을|||364619|서울특별시 종로구 자하문로1길 5 |서울특별시 종로구 내자동 1-2  |나이트라이프|안주마을|식신
호탕마라탕|||480063|서울특별시 서대문구 연세로7안길 14 |서울특별시 서대문구 창천동 52-123 |일식/중식/세계음식|호탕마라탕|식신
믹스앤몰트|||370848|서울 종로구 창경궁로29길 3|서울특별시 종로구 명륜3가 154-2|나이트라이프|믹스앤몰트|식신
차찬텡|||365682||서울특별시 용산구 이태원동 346-9|일식/중식/세계음식|차찬텡|식신
버블앤코클스|||375462|서울 용산구 이태원로45길 8|서울특별시 용산구 한남동 738-14|양식/레스토랑|버블앤코클스|식신
매운향솥|||364422|서울 광진구 동일로18길 61|서울특별시 광진구 자양동 9-33|일식/중식/세계음식|매운향솥|식신
종로설렁탕|||372617|서울특별시 종로구 종로 110-1 |서울특별시 종로구 종로3가 107-1    |한식|종로설렁탕|식신
신촌황소곱창|||365057|서울 종로구 삼일대로17길 17|서울특별시 종로구 관철동 12-23|고기/구이류|신촌황소곱창|식신
PLANT|||336811|서울특별시 용산구 보광로 117 |서울특별시 용산구 이태원동 130-43   |카페/디저트|PLANT|식신
JARI|||367224|서울 용산구 이태원로54길 5-5|서울특별시 용산구 한남동 682-22|일식/중식/세계음식|JARI|식신
대복집|||479663|서울특별시 종로구 사직로 137-9 |서울특별시 종로구 적선동 13-2  |한식|대복집|식신
타치가와텐|||375116||서울특별시 마포구 서교동 396-28|일식/중식/세계음식|타치가와텐|식신
산수화티하우스|||366422|서울 용산구 한남대로20길 21-14|서울특별시 용산구 한남동 68-27|카페/디저트|산수화티하우스|식신
샤오바오우육면|||873007|서울 종로구 삼일대로17길 15|서울특별시 종로구 관철동 12-24|일식/중식/세계음식|샤오바오우육면|식신
반미리|||372297|서울특별시 용산구 신흥로 54|서울특별시 용산구 용산동2가 45-1|일식/중식/세계음식|반미리|식신
흥부네부대찌개|||368267|서울 마포구 와우산로29마길 12|서울특별시 마포구 서교동 332-35|한식|흥부네부대찌개|식신
만동제과|||630817|서울 서대문구 연희로 32|서울특별시 서대문구 창천동 448|카페/디저트|만동제과|식신
용문갈비|||379167|서울 용산구 새창로 127|서울특별시 용산구 용문동 18-17|고기/구이류|용문갈비|식신
미스터리브루잉컴퍼니|||482861|서울 마포구 독막로 311|서울특별시 마포구 염리동 168-9|나이트라이프|미스터리브루잉컴퍼니|식신
성수동/간판없는집|||810713|서울 성동구 성수일로 59-1|서울특별시 성동구 성수동1가 14-70|한식|성수동 간판없는집|식신
간판없는가게|||828705|서울특별시 종로구 돈화문로11다길 36 |서울특별시 종로구 익선동 166-18    |양식/레스토랑|간판없는가게|식신
레이식당|||367934|서울 마포구 동교로 133|서울특별시 마포구 서교동 461-8    |일식/중식/세계음식|레이식당|식신
아차산할아버지|||479746|서울 광진구 자양로 328|서울특별시 광진구 구의동 143-3|한식|아차산할아버지|식신
별양꾼|||361286|서울 마포구 동교로 241|서울특별시 마포구 연남동 258-16|고기/구이류|별양꾼|식신
은성장|||372618|서울 중구 충무로5길 2|서울특별시 중구 을지로3가 296-4|한식|은성장|식신
코로비아/레스토랑|||370134|서울 용산구 대사관로 25|서울특별시 용산구 한남동 657-155|양식/레스토랑|코로비아 레스토랑|식신
에노테카친친|||359897|서울특별시 종로구 옥인길 40 |서울특별시 종로구 옥인동 171-1    |양식/레스토랑|에노테카친친|식신
만나손칼국수|||370405|서울특별시 중구 동호로31길 29 |서울특별시 중구 충무로5가 8-2    |한식|만나손칼국수|식신
미갈매기살|||377099|서울특별시 종로구 돈화문로11가길 7 |서울특별시 종로구 돈의동 7-1|고기/구이류|미갈매기살|식신
파파노다이닝|||373474|서울특별시 서대문구 이화여대길 88-14 |서울특별시 서대문구 대현동 34-51|일식/중식/세계음식|파파노다이닝|식신
이태원우육미엔|||630383|서울특별시 용산구 이태원로55가길 26-8 |서울특별시 용산구 한남동 741-17  |일식/중식/세계음식|이태원우육미엔|식신
이삭토스트서울명동점|||371957|서울 중구 퇴계로 105|서울특별시 중구 충무로1가 24-41|카페/디저트|이삭토스트서울명동점|식신
