##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|당산진미점|서울 영등포구 버드나루로19길5 (당산동 121-115, 찬솔원룸)|cafe25;bakery;instant;drug;post;withdrawal|VI100|37.5283909|126.90740501
GS25|당산하나점|서울 영등포구 영등포로103, 106호 (당산동2가 37, 하나비즈타워)|cafe25;drug;post;withdrawal|VT694|37.52203178|126.89313052
GS25|당산한강점|서울 영등포구 당산로48길11 (당산동6가 293-1)|cafe25;drug;post|VW700|37.53475094|126.9033747
GS25|당산현대점|서울 영등포구 국회대로29길3, 1층 (당산동4가 92, 현대아파트)|cafe25;instant;drug;post;battery|VQ100|37.52894358|126.89610575
GS25|당산효성점|서울 영등포구 당산로205, 상가 104호 (당산동5가 9-3, 당산역효성해링턴타워오피스텔)|cafe25;instant;drug;post;withdrawal|VO581|37.53275674|126.90015667
GS25|당정센터점|경기 군포시 고산로211번길32, 103, 104호 (당정동 1011-3)|cafe25;instant;drug;post;withdrawal|VS671|37.34350748|126.95066253
GS25|당진IC점|충남 당진시 송악읍 반촌로241(반촌리 395-1)|cafe25;instant;drug;post;withdrawal|VS696|36.89813198|126.70459106
GS25|당진고대점|충남 당진시 고대면 고대로32(용두리 676-13)|cafe25;drug;post;withdrawal;self_cook|VR924|36.92410782|126.59949257
GS25|당진구래점|충남 당진시 송악읍 구래3길19-4 (복운리 1-245)|post;withdrawal;smart_atm|VX945|36.94123249|126.79004476
GS25|당진대덕점|충남 당진시 먹거리길115, 1층(대덕동 1592)|cafe25;drug;post;withdrawal|VG860|36.88684453|126.63645258
GS25|당진대호점|충남 당진시 석문면 대호만로2351(교로리 937-38)|drug;post;withdrawal;smart_atm|VM804|37.04995851|126.50388689
GS25|당진도비도점|충남 당진시 석문면 난지3길13 (난지도리 558)|post|V2D46|37.01804729|126.46198051
GS25|당진동광점|충남 당진시 송악읍 신복운로3길8, 상가 101,102,103호 (복운리 1629-1, 동광아파트)|cafe25;instant;drug;post;withdrawal;self_cook|VN461|36.94040456|126.77958394
