##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|CODE|XCOORD|YCOORD@@SC제일은행
SC제일은행|이마트/광명소하/뱅크데스크지점||경기도  광명시  소하동  1339-3|경기도 광명시 소하로 97 (소하동 1339-3)|7346|474478|1096486
SC제일은행|이마트/김포한강/뱅크데스크지점||경기도  김포시  |경기도 김포시 김포한강7로 71 ( )|8164|417989|1151502
SC제일은행|이마트/다산/뱅크데스크지점||경기도  남양주시  도농동  1-29|경기도 남양주시 도농로 24 (도농동 1-29)|7352|535279|1141441
SC제일은행|이마트/동탄/뱅크샵지점||경기도 화성시 석우동 44|경기도 화성시 동탄중앙로 376 (석우동 44)|7376|517720|1032016
SC제일은행|이마트/서수원/뱅크샵지점||경기도 수원시 권선구 구운동 925|경기도 수원시 권선구 수인로 291 (구운동 925)|7375|493320|1050984
SC제일은행|이마트/수지/뱅크데스크지점||경기도  용인시 수지구  신봉동  909|경기도 용인시 수지구 수지로 203 (신봉동 909)|7354|518463|1061246
SC제일은행|이마트/의정부/뱅크데스크지점||경기도 의정부시  민락동  849|경기도 의정부시 민락로 210 (민락동 849)|7365|522592|1178735
SC제일은행|이마트/죽전/뱅크샵지점||경기도 용인시 수지구 죽전동 1282|경기도 용인시 포은대로 552 (수지구 죽전동 1282)|7335|524395|1062826
SC제일은행|이마트/파주운정/뱅크데스크지점||경기도 파주시 동패동 58|경기도 파주시 한울로 123 (동패동 58)|7334|443785|1169696
SC제일은행|이마트/풍산/뱅크데스크지점||경기도 고양시 일산동구 중산동 1809|경기도 고양시 무궁화로 237 (일산동구 중산동 1809)|8129|453082|1159540
SC제일은행|이마트/하남/뱅크데스크지점||경기도  하남시  덕풍동  736|경기도 하남시 덕풍서로 70 (덕풍동 736)|7349|545399|1125914
SC제일은행|이마트/화정/뱅크데스크지점||경기도  고양시 덕양구  화정동  976|경기도 고양시 덕양구 백양로 79 (화정동 976)|7351|463239|1148094
SC제일은행|이천지점||경기도 이천시 중리동 228-3|경기도 이천시 이섭대천로 1187 (중리동 228-3)|2618|599048|1049424
SC제일은행|일산지점||경기도 고양시 일산구 주엽동 83|경기도 고양시 일산구 중앙로 1391 (주엽동 83)|2633|448039|1157974
SC제일은행|중동지점||경기도 부천시 원미구 중동 1138-1|경기도 부천시 원미구 중동로248번길 105 (중동 1138-1)|2646|450135|1111672
SC제일은행|중산지점||경기도 고양시 일산동구 중산동 1580-1|경기도 고양시 일산동구 탄중로 421 (중산동 1580-1)|2658|451349|1163239
SC제일은행|진건지점||경기도 남양주시 진건면 용정리 778-9|경기도 남양주시 진건오남로 71 (진건면 용정리 778-9)|2640|539336|1154876
SC제일은행|천천동지점||경기도 수원시 장안구 천천동 524-4|경기도 수원시 장안구 덕영대로535번길 46 (천천동 524-4)|2731|496150|1055060
SC제일은행|철산타운지점||경기도 광명시 철산3동 373|경기도 광명시 광덕산로 5 (철산3동 373)|5268|471008|1103039
SC제일은행|평촌지점||경기도 안양시 호계동 1043-1|경기도 안양시 시민대로 214 (호계동 1043-1)|3816|490000|1081310
SC제일은행|평택지점||경기도 평택시 비전동 761|경기도 평택시 평택4로 52 (비전동 761)|2639|522521|970425
SC제일은행|현대의왕연구소점지점||경기도 의왕시 삼동 460-113|경기도 의왕시 철도박물관로 37 (삼동 460-113)|8144|489054|1062933
SC제일은행|호계동지점||경기도 안양시 동안구 호계2동 943-2|경기도 안양시 동안구 경수대로 609 (호계2동 943-2)|2637|490139|1077091
SC제일은행|화성병점지점||경기도 화성시 병점동 844-7|경기도 화성시 효행로 1072 (병점동 844-7)|3806|509831|1032166
SC제일은행|화정역지점||경기도 고양시 덕양구 화정동 970-2|경기도 고양시 덕양구 화중로 72 (화정동 970-2)|3813|462686|1148368
SC제일은행|거제지점||경상남도 거제시 고현동 961-32|경상남도 거제시 거제중앙로 1916 (고현동 961-32)|2705|870915|389961
SC제일은행|구미지점||경상북도 구미시 송정동 46-2|경상북도 구미시 백산로 94 (송정동 46-2)|2687|802441|730610
SC제일은행|김해지점||경상남도 김해시 부원동 611-6|경상남도 김해시 호계로 437 (부원동 611-6)|2701|928937|485434
SC제일은행|김해시법원출장소||경상남도 김해시 내동 1071-1|경상남도 김해시  (내동 1071-1)|4045|925189|489396
SC제일은행|마산지점||경상남도 창원시 마산 합포구 남성동 142-3|경상남도 창원시 마산 합포구 창동거리길 58 (남성동 142-3)|2693|858547|477442
SC제일은행|상주지점||경상북도 상주시 성하동 10-1|경상북도 상주시 중앙로 224 (성하동 10-1)|2685|760758|812030
SC제일은행|상주지방법원출장소||경상북도 상주시 만산동 652-2|경상북도 상주시 북천로 17-9 (만산동 652-2)|2742|758619|815312
SC제일은행|창원지점||경상남도 창원시 성산구 상남동 77-2|경상남도 창원시 성산구 상남로 107 (상남동 77-2)|2697|882785|482844
SC제일은행|창원지방법원출장소||경상남도 창원시 성산구 사파동 1|경상남도 창원시 창이대로 681 (성산구 사파동 1)|2699|887159|483289
SC제일은행|통영지원출장소||경상남도 통영시 용남면 동달리 857|경상남도 통영시 동달안길 67 (용남면 동달리 857)|2702|830499|382668
SC제일은행|포항지점||경상북도 포항시 북구 죽도동 44-1|경상북도 포항시 북구 죽도로 42 (죽도동 44-1)|2686|1032931|710782
SC제일은행|광주지점||광주광역시 동구 금남로3가 9-2|광주광역시 동구 금남로 224 (금남로3가 9-2)|3999|480934|459113
SC제일은행|상무지점||광주광역시 서구 치평동 1184|광주광역시 서구 치평로 86 (치평동 1184)|3820|465362|460756
SC제일은행|대구지점||대구광역시 중구 동성로1가 16|대구광역시 중구 경상감영길 155 (동성로1가 16)|2591|860329|662707
SC제일은행|대구신세계점/뱅크샵지점||대구광역시 동구 신천동 1506|대구광역시 동구 동부로 149 (신천동 1506)|7411|867859|664309
SC제일은행|범어동지점||대구광역시 수성구 범어4동 331-1|대구광역시 수성구 청호로 377 (범어4동 331-1)|2597|870034|656869
SC제일은행|성서지점||대구광역시 달서구 이곡동 1248-3|대구광역시 달서구 이곡공원로 32 (이곡동 1248-3)|2596|841191|657582
SC제일은행|원대동지점||대구광역시 북구 노원2가 292-2|대구광역시 북구 팔달로 209 (노원2가 292-2)|2593|855114|667042
