##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|구룡포점|||현대자동차서비스블루핸즈|054276-6020|경상북도 포항시 남구 구룡포읍 구룡포길 3-11||||||||현대차블루핸즈 구룡포점||||160405
현대차블루핸즈|구리현대자동차공업사|||현대자동차서비스블루핸즈|031-5659191|경기도 구리시 아차산로 399||||||||현대차블루핸즈 구리현대자동차공업사|(교문동)|||160405
현대차블루핸즈|구미점|||현대자동차서비스블루핸즈|031717-3849|경기도 성남시 분당구 미금일로86번길 24-5||||||||현대차블루핸즈 구미점|(구미동)|||160405
현대차블루핸즈|구산점|||현대자동차서비스블루핸즈|055-3110018|경상남도 김해시 해반천로 72||||||||현대차블루핸즈 구산점|(구산동)|||160405
현대차블루핸즈|구서점|||현대자동차서비스블루핸즈|051518-8204|부산광역시 금정구 금정로 206||||||||현대차블루핸즈 구서점|(구서동)|||160405
현대차블루핸즈|구성자동차정비공장|||현대자동차서비스블루핸즈|031-2810008|경기도 용인시 기흥구 동백죽전대로527번길 98-25||||||||현대차블루핸즈 구성자동차정비공장|(중동)|||160405
현대차블루핸즈|구성점|||현대자동차서비스블루핸즈|031-2835151|경기도 용인시 기흥구 용구대로 2333||||||||현대차블루핸즈 구성점|(마북동)|||160405
현대차블루핸즈|구영점|||현대자동차서비스블루핸즈|052-2485757|울산광역시 울주군 범서읍 대리3길 10-16||||||||현대차블루핸즈 구영점||||160405
현대차블루핸즈|구월중부점|||현대자동차서비스블루핸즈|032463-8203|인천광역시 남동구 복개서로 97번길 1||||||||현대차블루핸즈 구월중부점|(구월동)|||160405
현대차블루핸즈|구의점|||현대자동차서비스블루핸즈|02-4573702|서울특별시 광진구 광나루로50길 9||||||||현대차블루핸즈 구의점|(구의동)|||160405
현대차블루핸즈|구포점|||현대자동차서비스블루핸즈|051-3438204|부산광역시 북구 백양대로1064번길 4||||||||현대차블루핸즈 구포점|(구포동)|||160405
현대차블루핸즈|군문점|||현대자동차서비스블루핸즈|031658-8572|경기도 평택시 평남로 378||||||||현대차블루핸즈 군문점|(군문동)|||160405
