##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|안동|||쌍용자동차서비스프라자|||경상북도 안동시 옥동 985-11|||||||쌍용자동차서비스프라자 안동|(경북대로 333)|||160414
쌍용자동차서비스프라자|안동용상|||쌍용자동차서비스프라자||경상북도 안동시 용상북1길 43-14||||||||쌍용자동차서비스프라자 안동용상||||160414
쌍용자동차서비스프라자|안산|||쌍용자동차서비스프라자||경기도 안산시 상록구 항가울로 89||||||||쌍용자동차서비스프라자 안산||||160414
쌍용자동차서비스프라자|안성|||쌍용자동차서비스프라자|||경기도 안성시 신건지동 84|||||||쌍용자동차서비스프라자 안성|(중앙로 127)|||160414
쌍용자동차서비스프라자|안중|||쌍용자동차서비스프라자||경기도 평택시 현화리 654외 2필지 (서동대로 1452) ||||||||쌍용자동차서비스프라자 안중||||160414
쌍용자동차서비스프라자|양구|||쌍용자동차서비스프라자|||강원도 양구군 남면 170-1|||||||쌍용자동차서비스프라자 양구|(정중앙로 352)|||160414
쌍용자동차서비스프라자|양산|||쌍용자동차서비스프라자|||경상남도 양산시 남부동 473-11|||||||쌍용자동차서비스프라자 양산|(중앙로 45)|||160414
쌍용자동차서비스프라자|양양|||쌍용자동차서비스프라자|||강원도 양양군 양양읍 포월리 71-54|||||||쌍용자동차서비스프라자 양양|(동해대로 2845-1)|||160414
쌍용자동차서비스프라자|양재|||쌍용자동차서비스프라자||서울특별시 서초구 동산로13길 30-2||||||||쌍용자동차서비스프라자 양재||||160414
쌍용자동차서비스프라자|양주|||쌍용자동차서비스프라자|||경기도 양주시 덕정동 222-6|||||||쌍용자동차서비스프라자 양주|7 (회정로109번길 7-24)|||160414
