##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@GS25
GS25|속초선사로점|38.18897439|128.58893084|GS25||강원 속초시 선사로5길 29||cafe25;instant;drug;post||||||GS25 속초선사로점|(조양동 1516)|||90702
GS25|속초설악점|38.18976958|128.55706462|GS25||강원 속초시 노리5길 5||cafe25;drug;post;withdrawal;smart_atm||||||GS25 속초설악점|(노학동 330-1)|||90702
GS25|속초시외터미널점|38.21139574|128.59147521|GS25||강원 속초시 장안로 19||cafe25;instant;drug;post;withdrawal;smart_atm;self_cook||||||GS25 속초시외터미널점|(동명동 261-5)|||90702
GS25|속초시티프라디움점|38.20522889|128.56862335|GS25||강원 속초시 미시령로 3307||cafe25;instant;drug;post||||||GS25 속초시티프라디움점|상가 101호 (교동 1030,시티프라디움)|||90702
GS25|속초아뜨리움점|38.18750894|128.5972294|GS25||강원 속초시 조양로 40||cafe25;bakery;instant;drug;post;withdrawal||||||GS25 속초아뜨리움점|상가 106동 102호 (조양동 산27-7,아뜨리움아파트)|||90702
GS25|속초아이파크점|38.19211921|128.59952742|GS25||강원 속초시 청호로 22||cafe25;instant;drug;post;withdrawal||||||GS25 속초아이파크점|(조양동 1438-4)|||90702
GS25|속초양우점|38.18679729|128.59007766|GS25||강원 속초시 온정로1길 22-13||cafe25;instant;drug;post;withdrawal||||||GS25 속초양우점|상가동 103호 (조양동 1569,속초조양양우내안애아파트)|||90702
GS25|속초영동점|38.20735476|128.5724194|GS25||강원 속초시 미시령로3337번길 6-49||cafe25;drug;withdrawal;jella_soft||||||GS25 속초영동점|상가 109호 (교동 618-10,현대1차)|||90702
GS25|속초장사점|38.22504952|128.58706296|GS25||강원 속초시 중앙로 421||cafe25;bakery;instant;drug;post;withdrawal;self_cook||||||GS25 속초장사점|(장사동 592-24)|||90702
GS25|속초장사항점|38.22294717|128.58947871|GS25||강원 속초시 장사항해안길 11||cafe25;drug;post||||||GS25 속초장사항점|(장사동 577-36)|||90702
GS25|속초조양점|38.18659436|128.59280425|GS25||강원 속초시 온정로 26||cafe25;drug;post;withdrawal||||||GS25 속초조양점|103,104호 (조양동 1215-2)|||90702
GS25|속초중앙점|38.20527606|128.59189384|GS25||강원 속초시 중앙로 161-2||cafe25;post||||||GS25 속초중앙점|1층 지하1층 (중앙동 468-40)|||90702
GS25|속초타워점|38.19199625|128.58279051|GS25||강원 속초시 철새길 43||cafe25;post;withdrawal;self_cook||||||GS25 속초타워점|(조양동 1543-4)|||90702
GS25|속초해오름점|38.18641753|128.60451478|GS25||강원 속초시 새마을길 56||cafe25;post;atm;withdrawal||||||GS25 속초해오름점|(조양동 1480-315)|||90702
GS25|송내2단지점|37.88933642|127.05399173|GS25||경기 동두천시 동두천로 89||cafe25;instant;drug;post;withdrawal||||||GS25 송내2단지점|상가동 103호 (지행동 722-8,송내주공아파트)|||90702
GS25|송내기쁨점|37.4847282|126.77096536|GS25||경기 부천시 경인로137번가길 3||cafe25;instant;drug;post;atm;withdrawal;smart_atm||||||GS25 송내기쁨점|1층 (송내동 561-1)|||90702
GS25|송내남부역점|37.48647493|126.75278857|GS25||경기 부천시 소사구 송내대로 33||drug;post;battery;withdrawal||||||GS25 송내남부역점|104호 (송내1동 709-5)|||90702
GS25|송내반달점|37.48975357|126.75182944|GS25||경기 부천시 원미구 부일로191번길 26||post||||||GS25 송내반달점|외1필지 1층 1호 (상1동 408-3)|||90702
GS25|송내삼익점|37.48007818|126.77003527|GS25||경기 부천시 경인로134번길 89||cafe25;instant;drug;post;battery;withdrawal||||||GS25 송내삼익점|1층 (송내동 609)|||90702
