##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교촌치킨
교촌치킨|방배2호점|||교촌치킨|02-522-9995|서울 서초구 방배중앙로 14|서울 서초구 방배3동 918-4|||||||교촌치킨 방배2호점||||80607
교촌치킨|서초1호점|||교촌치킨|02-581-9949,581-9945|서울 서초구 강남대로 43길 22-1|서울 서초구 서초동 1357-56|||||||교촌치킨 서초1호점|1층|||80607
교촌치킨|서초2호점|||교촌치킨|02-588-9905|서울 서초구 서초대로56길 22|서울 서초구 서초동 1669-15|||||||교촌치킨 서초2호점||||80607
교촌치킨|서초3호점|||교촌치킨|02-582-9233|서울 서초구 사임당로 31|서울 서초구 서초동 1579-5|||||||교촌치킨 서초3호점||||80607
교촌치킨|양재1호점|||교촌치킨|02-579-9245|서울 서초구 동산로 6|서울 서초구 양재동 327-2|||||||교촌치킨 양재1호점||||80607
교촌치킨|잠원1호점|||교촌치킨|02-532-9992|서울 서초구 나루터로 69|서울 서초구 잠원동 15-4|||||||교촌치킨 잠원1호점||||80607
교촌치킨|금호역점|||교촌치킨|02-2296-5992|서울 성동구 장터길 26|서울 성동구 금호동4가 1380|||||||교촌치킨 금호역점||||80607
교촌치킨|성수1호점|||교촌치킨|02-464-9992|서울 성동구 동일로 41|서울 성동구 성수동2가 235-1|||||||교촌치킨 성수1호점||||80607
교촌치킨|성수역점|||교촌치킨|02-497-1991|서울 성동구 아차산로 7길 10-1|서울 성동구 성수동2가 289-251|||||||교촌치킨 성수역점||||80607
교촌치킨|왕십리1호점|||교촌치킨|02-2293-9985~6|서울 성동구 왕십리로 363|서울 성동구 하왕십리동 946-15|||||||교촌치킨 왕십리1호점||||80607
교촌치킨|왕십리도선점|||교촌치킨|02-2292-1991|서울 성동구 고산자로 281|서울 성동구 홍익동 131-1|||||||교촌치킨 왕십리도선점|1층|||80607
교촌치킨|응봉점|||교촌치킨|02-2299-9965|서울 성동구 독서당로62길 43|서울 성동구 응봉동 100|||||||교촌치킨 응봉점|상가내 1층 (응봉동,대림아파트);상가내 1층|||80607
교촌치킨|동덕여대점|||교촌치킨|02-913-8292,909-8292|서울 성북구 화랑로 103|서울 성북구 하월곡동 17-1|||||||교촌치킨 동덕여대점||||80607
교촌치킨|동소문점|||교촌치킨|02-953-9922|서울 성북구 아리랑로 21-1|서울 성북구 동소문동 6가 227|||||||교촌치킨 동소문점|1층;1층|||80607
교촌치킨|보문역점|||교촌치킨|02-921-3292|서울 성북구 보문로 129-8|서울 성북구 보문동2가 40|||||||교촌치킨 보문역점|(보문동2가)|||80607
교촌치킨|석관장위점|||교촌치킨|02-918-9925|서울 성북구 돌곶이로 93|서울 성북구 장위2동 64-129|||||||교촌치킨 석관장위점||||80607
교촌치킨|정릉1호점|||교촌치킨|02-909-3311,9282|서울 성북구 보국문로 68|서울 성북구 정릉4동 285-4|||||||교촌치킨 정릉1호점||||80607
교촌치킨|정릉2호점|||교촌치킨|02-912-1333|서울 성북구 정릉로31길 32|서울 성북구 정릉동 175-24|||||||교촌치킨 정릉2호점||||80607
교촌치킨|가락2호점|||교촌치킨|02-448-9005,9045|서울 송파구 양재대로 62길 35|서울 송파구 가락동 75-7|||||||교촌치킨 가락2호점|다우빌딩 1층|||80607
교촌치킨|거여가락1호점|||교촌치킨|02-406-9282|서울 송파구 문정로 143|서울 송파구 가락동 180-9|||||||교촌치킨 거여가락1호점||||80607
교촌치킨|마천1호점|||교촌치킨|02-404-9907~8|서울 송파구 오금로 544|서울 송파구 거여동 32-6|||||||교촌치킨 마천1호점|1층|||80607
교촌치킨|문정법조점|||교촌치킨|02-3012-1992|서울 송파구 새말로 62|서울 송파구 문정동 620|||||||교촌치킨 문정법조점|(문정동);송파푸르지오시티 B09호|||80607
교촌치킨|방이2호점|||교촌치킨|02-420-0495|서울 송파구 오금로 11길 22|서울 송파구 방이동 59-1|||||||교촌치킨 방이2호점||||80607
교촌치킨|방이역점|||교촌치킨|02-418-9599,9569|서울 송파구 마천로 76|서울 송파구 오금동 41-23|||||||교촌치킨 방이역점|성암빌딩 1층;성암빌딩 1층|||80607
교촌치킨|석촌점|||교촌치킨|02-412-0799|서울 송파구 백제고분로 39길 29|서울 송파구 석촌동 163-1|||||||교촌치킨 석촌점||||80607
교촌치킨|송파1호점|||교촌치킨|02-418-8892|서울 송파구 가락로 212|서울 송파구 송파동 147|||||||교촌치킨 송파1호점||||80607
교촌치킨|위례송파점|||교촌치킨|02-2043-1991|서울 송파구 위례광장로 136|서울 송파구 장지동 894|||||||교촌치킨 위례송파점|위례아이파크 상가1동 103호,104호;위례아이파크 상가1동 103호,104호|||80607
교촌치킨|잠실1호점|||교촌치킨|02-416-9939,423-9989|서울 송파구 백제고분로 142|서울 송파구 잠실본동 313-8|||||||교촌치킨 잠실1호점||||80607
교촌치킨|잠실2호점|||교촌치킨|02-417-9225~6|서울 송파구 올림픽로35가길 9|서울 송파구 신천동 11-4|||||||교촌치킨 잠실2호점||||80607
교촌치킨|장지점|||교촌치킨|02-403-9225,9222|서울 송파구 새말로 167|서울 송파구 문정동 102-1|||||||교촌치킨 장지점||||80607
교촌치킨|풍납1호점|||교촌치킨|02-478-5844~5|서울 송파구 토성로 55|서울 송파구 풍납2동 405|||||||교촌치킨 풍납1호점||||80607
교촌치킨|목동1호점|||교촌치킨|02-2645-9925|서울 양천구 목동중앙서로 24|서울 양천구 목동 797-3|||||||교촌치킨 목동1호점||||80607
교촌치킨|목동2호점|||교촌치킨|02-2643-9339,2643-9329|서울 양천구 목동동로 423|서울 양천구 목동 909-8|||||||교촌치킨 목동2호점|이화프라자 1층 101호;이화프라자 1층 101호|||80607
교촌치킨|목동오거리점|||교촌치킨|02-2647-0092|서울 양천구 목동로 230|서울 양천구 목동 940|||||||교촌치킨 목동오거리점|목동2차아이파크 상가 102호;현대아이파크상가 102|||80607
교촌치킨|신월2호점|||교촌치킨|02-2697-7272,2692-0030|서울 양천구 지양로 52|서울 양천구 신월7동 972-6|||||||교촌치킨 신월2호점||||80607
교촌치킨|신정1호점|||교촌치킨|02-2649-9282|서울 양천구 신월로 326|서울 양천구 신정1동 1027-2|||||||교촌치킨 신정1호점||||80607
교촌치킨|신트리점|||교촌치킨|02-2605-7892|서울 양천구 신정로 312|서울 양천구 신정동 1267|||||||교촌치킨 신트리점|목동뉴프라자;목동뉴프라자|||80607
교촌치킨|오목교점|||교촌치킨|02-2654-0833|서울 양천구 목동동로 180|서울 양천구 신정동 1296|||||||교촌치킨 오목교점|아이파크아파트 상가 1층;아이파크 상가 1층|||80607
교촌치킨|화곡1호점|||교촌치킨|02-2606-9961~2|서울 양천구 화곡로 103|서울 양천구 신월동 23-17|||||||교촌치킨 화곡1호점||||80607
교촌치킨|당산1호점|||교촌치킨|02-2672-9995,2672-9994|서울 영등포구 영중로 145|서울 영등포구 영등포동8가 76-1|||||||교촌치킨 당산1호점|삼환아파트 상가 112호;삼환@상가 112호|||80607
